2022-03-02 20:03:48,357 blarg | DEBUG | {"type": "tcp", "dme_world_id": 177, "src": 1, "dst": 0, "data": "021300000000"}
2022-03-02 20:03:49,493 blarg | DEBUG | {"type": "tcp", "dme_world_id": 177, "src": 1, "dst": 0, "data": "021300000000"}
2022-03-02 20:03:50,187 blarg | DEBUG | {"type": "udp", "dme_world_id": 177, "src": 1, "dst": 0, "data": "0001E5E6210000010000"}
2022-03-02 20:03:52,175 blarg | DEBUG | {"type": "tcp", "dme_world_id": 177, "src": 1, "dst": 0, "data": "021300000000"}
2022-03-02 20:03:54,609 blarg | DEBUG | {"type": "udp", "dme_world_id": 177, "src": 0, "dst": 1, "data": "00015FF1210005010000"}
2022-03-02 20:03:54,908 blarg | DEBUG | {"type": "udp", "dme_world_id": 177, "src": 1, "dst": 0, "data": "000145F221000500FFFF"}
2022-03-02 20:03:54,910 blarg | DEBUG | {"type": "udp", "dme_world_id": 177, "src": 1, "dst": 0, "data": "0001A0F2210001010000"}
2022-03-02 20:03:55,205 blarg | DEBUG | {"type": "udp", "dme_world_id": 177, "src": 0, "dst": 1, "data": "000126F321000100FFFF"}
2022-03-02 20:03:55,353 blarg | DEBUG | {"type": "tcp", "dme_world_id": 177, "src": 1, "dst": 0, "data": "021300000000"}
2022-03-02 20:03:55,907 blarg | DEBUG | {"type": "tcp", "dme_world_id": 177, "src": 1, "dst": 0, "data": "021300000000"}
2022-03-02 20:03:57,391 blarg | DEBUG | {"type": "tcp", "dme_world_id": 177, "src": 1, "dst": 0, "data": "021300000000"}
2022-03-02 20:03:58,886 blarg | DEBUG | {"type": "udp", "dme_world_id": 177, "src": 0, "dst": 1, "data": "00011FFD210005010000"}
2022-03-02 20:03:58,999 blarg | DEBUG | {"type": "udp", "dme_world_id": 177, "src": 1, "dst": 0, "data": "000108FE21000500FFFF"}
2022-03-02 20:03:59,100 blarg | DEBUG | {"type": "udp", "dme_world_id": 177, "src": 1, "dst": 0, "data": "00015BFE210001010000"}
